N,no_pruning_build_s,no_pruning_price_s,no_pruning_price,pruning_1e-8_build_s,pruning_1e-8_price_s,pruning_1e-8_price
1,2.140016295015812e-05,1.5800120308995247e-05,11.00508314690904,8.559995330870152e-05,1.54001172631979e-05,11.00508314690904
2,7.740012370049953e-05,3.929995000362396e-05,12.255850694193123,2.9299873858690262e-05,1.0699965059757233e-05,12.255850694193123
3,5.8300094678997993e-05,1.4399876818060875e-05,12.72853213912119,4.620011895895004e-05,1.0700197890400887e-05,12.72853213912119
4,8.559995330870152e-05,1.6300007700920105e-05,12.948520860797062,9.760004468262196e-05,1.700012944638729e-05,12.948520860797062
5,0.00012700003571808338,2.040015533566475e-05,13.066847832208023,0.00012669991701841354,3.5400036722421646e-05,13.066847832208023
6,0.00023099989630281925,2.8300099074840546e-05,13.13777831054946,0.00020400015637278557,2.8199981898069382e-05,13.13777831054946
7,0.00041729980148375034,3.5800039768218994e-05,13.183860397276428,0.00023500015959143639,3.8499943912029266e-05,13.183860397276428
8,0.0003582998178899288,4.560011439025402e-05,13.215624908488648,0.0003106000367552042,4.4800108298659325e-05,13.215624908488648
9,0.0004585001152008772,6.430014036595821e-05,13.238500148405725,0.0009538999292999506,9.350012987852097e-05,13.238500148405725
10,0.0005753000732511282,6.329989992082119e-05,13.255525060278906,0.0005171000957489014,6.849993951618671e-05,13.255525060278906
11,0.0007188001181930304,7.489998824894428e-05,13.26852016422587,0.0006200000643730164,6.680004298686981e-05,13.26852016422587
12,0.0013707999605685472,0.00010289996862411499,13.278637578738126,0.001250200206413865,0.00016920012421905994,13.278637578738126
13,0.0008171999361366034,0.00012729992158710957,13.286639526808173,0.0009301998652517796,0.00011689984239637852,13.286639526808173
14,0.0012803999707102776,0.00012409989722073078,13.29304888550951,0.0013153001200407743,0.00014139991253614426,13.29304888550951
15,0.0011081001721322536,0.00017359992489218712,13.298235248591144,0.0018915999680757523,0.00011930009350180626,13.298235248591144
16,0.0016888000536710024,0.00019069993868470192,13.302466511441063,0.0015960999298840761,0.00015529990196228027,13.302466511441063
17,0.0013327000197023153,0.00016140006482601166,13.305941054166873,0.0012189000844955444,0.00015259999781847,13.305941054166873
18,0.001503499923273921,0.00018279999494552612,13.30880851517273,0.0013989000581204891,0.00016649998724460602,13.30880851517273
19,0.002230799989774823,0.0002460000105202198,13.311183596915154,0.001775600016117096,0.0002514999359846115,13.311183596915154
20,0.0021000001579523087,0.00024269986897706985,13.313155475548172,0.0032699001021683216,0.0002064998261630535,13.313155475548172
21,0.0020500998944044113,0.0003185998648405075,13.314794357488168,0.0017448000144213438,0.0002451001200824976,13.314794357488168
22,0.00392800010740757,0.0005114998202770948,13.316156137901084,0.0020488998852670193,0.0002364001702517271,13.31615613790108
23,0.002357600023970008,0.00035520014353096485,13.317285768531493,0.0023316999431699514,0.0002598001156002283,13.317285768531482
24,0.002643199870362878,0.0003331999760121107,13.31821973064468,0.0022432999685406685,0.0002769001293927431,13.31821973064465
25,0.003220100188627839,0.00041019986383616924,13.31898787653995,0.00237479992210865,0.0003070998936891556,13.318987876539877
26,0.004614700097590685,0.0005512000061571598,13.319614818446217,0.0033710000570863485,0.0003106000367552042,13.319614818446066
27,0.0038242998998612165,0.0004824001807719469,13.320120988290634,0.0026220001745969057,0.0003744000568985939,13.320120988290352
28,0.0036273999139666557,0.0005042999982833862,13.32052345497014,0.0027917998377233744,0.0003557000309228897,13.32052345497011
29,0.004382000071927905,0.0013774000108242035,13.320836560820332,0.003019600175321102,0.00039730011485517025,13.320836560820277
30,0.004608499817550182,0.0005717999301850796,13.321072421757115,0.004031900083646178,0.00042869988828897476,13.321072421757018
34,0.0062113001476973295,0.000758300069719553,13.321427907581862,0.003726300084963441,0.0004825000651180744,13.321427907581349
42,0.009379599941894412,0.001316600013524294,13.320499890548835,0.006302000023424625,0.0007052000146359205,13.3204998905445
50,0.011638999916613102,0.002186400117352605,13.31863339564656,0.0071319998241961,0.0008905001450330019,13.318633395634697
59,0.01701180008240044,0.0026379001792520285,13.316192311427832,0.008624600013718009,0.001155500067397952,13.316192311396831
68,0.02131689991801977,0.00555709982290864,13.313715984581137,0.01065300009213388,0.001397599931806326,13.313715984519416
78,0.028429500060155988,0.005856999894604087,13.311077942346786,0.015561400214210153,0.0017691000830382109,13.311077942240074
89,0.03588219988159835,0.007486300077289343,13.308378564016587,0.016675099963322282,0.0022464001085609198,13.308378563861172
100,0.04550940007902682,0.010422300081700087,13.305902641241932,0.02109550009481609,0.002728200051933527,13.305902641025634
111,0.056147299939766526,0.013798600062727928,13.303637853793157,0.022576799849048257,0.0033868998289108276,13.303637853505732
124,0.06946130003780127,0.018066300079226494,13.301206175394281,0.03148850006982684,0.004600499989464879,13.3012061750202
136,0.10328859998844564,0.023497899994254112,13.299168911343974,0.030980499926954508,0.004896600032225251,13.299168910882074
149,0.09754240000620484,0.028860900085419416,13.297157045732735,0.03529569995589554,0.005632400047034025,13.297157045170762
163,0.11927459994331002,0.037960799876600504,13.295186970779717,0.041611299850046635,0.006164700025692582,13.295186970105354
177,0.139227099949494,0.047911399975419044,13.293392680167784,0.0459283001255244,0.007615000009536743,13.293392679376954
191,0.18666320014744997,0.057258700020611286,13.29175023322159,0.05059100012294948,0.00826269993558526,13.291750232310147
207,0.18934960011392832,0.07340899994596839,13.290033736351168,0.17641509999521077,0.00951609993353486,13.290033735235623
222,0.23952739988453686,0.08631550008431077,13.28855934749356,0.06338280020281672,0.010672400007024407,13.288559346191121
238,0.25208589993417263,0.10630899993702769,13.287111400385866,0.06901869992725551,0.011636899784207344,13.287111398878677
254,0.3101320001296699,0.1269685998558998,13.285775928604018,0.07553249993361533,0.013617199845612049,13.285775926938525
271,0.35483570001088083,0.15501330001279712,13.284464769164938,0.08294410002417862,0.014802899910137057,13.284464767330803
289,0.4010926999617368,0.19022140000015497,13.283182499644646,0.09136009984649718,0.016967699863016605,13.283182497575336
306,0.4492953000590205,0.21546069998294115,13.283946795618583,0.12959690019488335,0.018213000148534775,13.283946793381595
324,0.4984134999103844,0.2492100999224931,13.285902118666817,0.10831969999708235,0.0212183000985533,13.285902116245257
343,0.568399399984628,0.29598170006647706,13.28761144959399,0.11735820001922548,0.022125500021502376,13.28761144697802
362,0.6549638998694718,0.34323749993927777,13.289023100411047,0.15477819996885955,0.02426410000771284,13.289023097686929
381,0.6807416998781264,0.39828229998238385,13.29019021877123,0.13924229983240366,0.025938599836081266,13.290190215858756
401,0.8069909999612719,0.46368689998053014,13.291200691733145,0.14851989992894232,0.030344400089234114,13.291200688624269
422,0.8720177998766303,0.5375864000525326,13.292062736378627,0.1868037001695484,0.03686080011539161,13.292062733045723
442,0.9485464000608772,0.6081896999385208,13.292726568849883,0.17405520007014275,0.03366620000451803,13.292726565320201
463,1.0649236999452114,0.7095804000273347,13.293286241732318,0.2108068000525236,0.03775930008850992,13.293286238069587
485,1.1487671001814306,0.7965796999633312,13.293746538918628,0.19539149990305305,0.040798200061544776,13.293746535060652
500,1.2542532999068499,0.8708665000740439,13.293997509479192,0.2499629999510944,0.04258299991488457,13.293997505438211
